,Tweet Count,Username,Text,Created At,Retweets,Likes
0,1,Fadli Dinul,me program mbg alias gajelas,Fri Jan 31 23:51:53 +0000 2025,0,8
1,2,JANGAN DITUNGGUIN DAN DITAGIH UPDATE AU🙏🏻,orang commute pake transum stop ngerecokin kebijakan terkait transum semoga program mbg cepet bubar bener nyusahin,Fri Jan 31 23:49:29 +0000 2025,1,7
2,3,nugrahagu,lihatlah indonesia bikin program mbg bikin ikn berpengaruh thd sektor coba tebak perencanaan keuangan gagal kapasitas keuangan ortu klo blm duit sabar nabung kek investasi emas kek,Fri Jan 31 23:44:39 +0000 2025,0,0
3,4,Bulliever Shinobi,enteng banget nyuruh inovasi hasil pengorbanan mbg doang mbg nya suruh inovasi tuh biar efisien orang program berdampak langsung rakyat swastakan mencekik sekelas tj subsidi realistis son,Fri Jan 31 23:35:47 +0000 2025,0,5
4,5,Humas Polres Nganjuk,program makan bergizi gratis mbg polres nganjuk spripimpoldajatim divhumaspolri humaspoldajatim polisi polresnganjuk kapolresnganjuk siswantoro polisinganjuk semangatmelayani bolokuompolisi wayahelaporkapolres babinkamtibmasnganjuk jumatberkah,Fri Jan 31 23:33:55 +0000 2025,0,6
5,6,mpu bkn gandring 🤪,mbg adlh program mulia anggarannya terbatas hrsnya mbg diperuntukkan pd anak didik shg kualitas gizinya bs maximal sdkt trm mbg lbh mudah penanganan nya,Fri Jan 31 23:31:11 +0000 2025,0,0
6,7,momakan,kakak ipar gue usaha katering harian warga perumahan kadang instansi sekolah sekolah acara order makan kakak ipar gue sedari program mbg udah wanti wanti ikutan mending udah langganan,Fri Jan 31 23:29:31 +0000 2025,1,4
7,8,amnowi,kementerian lembaga penghematan an triliun gt triliun nambahin program mbg sisa an triliun dikemanain,Fri Jan 31 23:17:51 +0000 2025,0,0
8,9,Maharisme,tonjolkan cm program makan siang gratis smua jd penjilatnya prabowo skrg emang permslhan negara cm mbg msh bnyk ygb lbh dibanding mbg ky jaman jahiliayahnya ethiopia negara perkara ngasih makan anaknya dianggap sdh tdk,Fri Jan 31 23:14:57 +0000 2025,0,0
9,10,CVNKJL™️,program andalan prabowo mbg dukung semoga kedepan anak indonesia anak pintar dpt membawa indonesia negara kuat maju,Fri Jan 31 23:12:25 +0000 2025,0,0
10,11,ALKAPAY 𝕏,pendidikan kesehatan prioritas utama diefisiensi program mbg,Fri Jan 31 22:57:34 +0000 2025,0,1
11,12,erl,parameter keberhasila program mbg apasi serius nanya,Fri Jan 31 22:49:31 +0000 2025,2,0
12,13,RikKu,keknya program mbg ikn sih kecuali investor masuk iya,Fri Jan 31 22:24:56 +0000 2025,0,0
13,14,Deborah,mari dukung program pemerintah makan bergizi gratis membantu anak anak papua tumbuh cerdas sehat makanbergizi giziindonesia makangratis gizi mbg,Fri Jan 31 22:01:58 +0000 2025,0,0
14,15,Deborah,mari dukung program pemerintah makan bergizi gratis membantu anak anak papua tumbuh cerdas sehat makanbergizi giziindonesia makangratis gizi mbg,Fri Jan 31 22:01:48 +0000 2025,0,0
15,16,Titik Rahayu,mari dukung program pemerintah makan bergizi gratis membantu anak anak papua tumbuh cerdas sehat makanbergizi giziindonesia makangratis gizi mbg,Fri Jan 31 22:00:15 +0000 2025,1,1
16,17,Titik Rahayu,mari dukung program pemerintah makan bergizi gratis membantu anak anak papua tumbuh cerdas sehat makanbergizi giziindonesia makangratis gizi mbg,Fri Jan 31 22:00:04 +0000 2025,0,2
17,18,Muhammad Fikrul Akbar Suwahyu,wkwk kaum emang bodoh beneran adik kakak bodoh namanya makan gratis program tambahan makanan anak sekolah beda prosesnya dananya lha mbg mencret berjamaah gratis dana pelaksanaannya,Fri Jan 31 21:57:38 +0000 2025,13,233
18,19,Andri Yandi,setlh dg program gede mudaratnya mbg asn ngerasa cemilannya berkurang karna mbg ngomongin mbg eh garong hutan merhatiin hutan eh konsesi tambang n tikus mafia tanah beraksi dll lengkap sdh kontol,Fri Jan 31 21:02:44 +0000 2025,0,0
19,20,harapanrakyat.com,puluhan orang tertipu program mbg tasikmalaya pelaku ngaku mayor teddy,Fri Jan 31 19:59:50 +0000 2025,0,0
20,21,Diah Kartika,program mbg dorong umkm pangan hadapi tantangan peluang mbgdorongekonomi,Fri Jan 31 19:52:13 +0000 2025,0,0
21,22,Fasha Aulia,program mbg bantu banget umkm eksis berkembang tingkatkan produksi kualitas sih nggak suka makanan enak sehat mbgdorongekonomi,Fri Jan 31 19:45:59 +0000 2025,0,0
22,23,Rafly Lurus,program mbg katalis pertumbuhan umkm pangan mbgdorongekonomi,Fri Jan 31 19:45:38 +0000 2025,0,0
23,24,Pintasan.co,prof fadjry djufry paparkan program prioritas sulsel mbg swasembada pangan,Fri Jan 31 18:28:25 +0000 2025,0,0
24,25,E zio,udah sirkel diuntungin tembakan program mbg rezim inimah wkwkwk,Fri Jan 31 18:27:44 +0000 2025,0,0
25,26,E zio,menkeu efisiensi kementerian potensial pendidikan kesehatan isolop menhan ngga naikin anggaran program mbg wo wo,Fri Jan 31 18:27:18 +0000 2025,0,0
26,27,Septa Nurdiyanti,ayo maju dukung program mbg umkm level mbgdorongekonomi,Fri Jan 31 18:22:02 +0000 2025,0,0
27,28,aulii,lembaga gasih in charge program mbg dibentuknya agustus ttd perpres dasar pembentukannya jokowi wjwkwkkw well prepared,Fri Jan 31 18:17:48 +0000 2025,0,0
28,29,oblivion,ide bagus biar ego program mbg jalan tetep terpenuhi kiriman menlen duit kas negara dialokasiin kepentingan mendesak,Fri Jan 31 17:58:47 +0000 2025,0,3
29,30,Raiska Atifah,program mbg bantu umkm pangan cetak produk berkualitas dipercaya konsumen mbgdorongekonomi,Fri Jan 31 17:54:18 +0000 2025,0,0
30,31,@sigromilir.01,anak sekolah kelinci percobaan proyek mbg menu gizi ulat serangga berekspektasi terlaksana memenuhi program makan mewah bergizi dibiayai hasil menjual laut stop berpikir pencitraan dng menjual kedaulatan,Fri Jan 31 17:39:45 +0000 2025,0,1
31,32,Kamaria Laksmiwati,tambahan ekonomi nasional program mbg bikin bangga mbgdorongekonomi,Fri Jan 31 17:15:45 +0000 2025,0,0
32,33,Imron Yaman,program mbg bantu umkm pangan the next big thing industri mbgdorongekonomi,Fri Jan 31 17:12:30 +0000 2025,0,0
33,34,Sebastian Rendra,program mbg membantu umkm pangan aware inovasi diferensiasi produk sehat mbgdorongekonomi,Fri Jan 31 17:02:10 +0000 2025,0,0
34,35,Brian Syahputra,program mbg makanan sehat bergizi gratis,Fri Jan 31 16:59:46 +0000 2025,0,0
35,36,Nuwaira Dahlan,mimpi umkm tercapai bareng program mbg strategis mbgdorongekonomi,Fri Jan 31 16:58:01 +0000 2025,0,0
36,37,Brian Syahputra,program mbg indonesia maju,Fri Jan 31 16:58:01 +0000 2025,0,0
37,38,Paramita Widiastuti,program mbg bikin manfaat umkm pangan indonesia mbgdorongekonomi,Fri Jan 31 16:46:15 +0000 2025,0,0
38,39,Brian Syahputra,isu program mbg terjamin terpantau,Fri Jan 31 16:43:44 +0000 2025,0,0
39,40,Brian Syahputra,full support kesuksesan program mbg,Fri Jan 31 16:42:01 +0000 2025,0,0
40,41,Brian Syahputra,lawan isu hoax sukses program mbg,Fri Jan 31 16:38:46 +0000 2025,0,0
41,42,Saganya Nifsa,inovasi kunci program mbg bantu umkm pangan capai potensi maksimal mbgdorongekonomi,Fri Jan 31 16:26:17 +0000 2025,0,0
42,43,brian,gua curiga program sbnrnya agenda kampanye presiden terlanjur nyeletuk janjiin mbg yaudah dilaksanain belom mateng internal programnya gmn digadangin,Fri Jan 31 16:23:27 +0000 2025,1,8
43,44,Ertiya Majid,booming inovasi umkm pangan program mbg mbgdorongekonomi,Fri Jan 31 16:22:58 +0000 2025,0,0
44,45,Bimbim Gamay,kesempatan emas umkm dijemput program mbg mbgdorongekonomi,Fri Jan 31 16:16:27 +0000 2025,0,0
45,46,Basima Wardatul,program mbg bikin umkm pangan dikenal dihargai mbgdorongekonomi,Fri Jan 31 16:10:14 +0000 2025,0,0
46,47,Rendra Nugroho,program mbg langkah umkm pangan sukses mbgdorongekonomi,Fri Jan 31 16:03:57 +0000 2025,0,0
47,48,Muhammad Raffi,mbg salah prioritas presiden prabowo memiliki dampak ekonomi luas anggaran rp triliun bertambah rp triliun program diyakini membuka peluang umkm sektor pangan,Fri Jan 31 16:02:40 +0000 2025,1,0
48,49,telescope,obrolan warkop blom klarr ikn dah mo bangun giant sea wall program mbg nga hutang mn,Fri Jan 31 16:01:23 +0000 2025,0,0
49,50,Fadhela Herana,umkm pangan program mbg bawa angin segar kesempatan mbgdorongekonomi,Fri Jan 31 15:56:56 +0000 2025,0,0
50,51,Silvia Pudjiastuti,bangga umkm merangkul kesempatan program mbg mbgdorongekonomi,Fri Jan 31 15:53:46 +0000 2025,0,0
51,52,Encus,cima gimmick doank program mbg gratis amburadul aii suruh pindah emang ikn ngapain joget oke gas oke gas modyar,Fri Jan 31 15:46:50 +0000 2025,0,1
52,53,el,btw mbg program dadakan kualitasnya buruk terlanjur menang seadanya,Fri Jan 31 15:46:36 +0000 2025,0,0
53,54,PatiGeni,program mbg batalkan ganti dg program cerdas,Fri Jan 31 15:46:09 +0000 2025,1,1
54,55,oembi geprek,me too allah nahan lg kondisi program mbg menurutku sasaran sekolah elite dapet mbg kah kabar anak miskin sekolah tujuannya mengatasi stunting bullshit,Fri Jan 31 15:45:45 +0000 2025,0,0
55,56,Anindya Kurniawati,program mbg bikin orang sehat umkm ikutan sejahtera mbgdorongekonomi,Fri Jan 31 15:43:10 +0000 2025,0,0
56,57,Anik Karolina,program mbg menghadirkan harapan umkm pangan jangkau pasar luas mbgdorongekonomi,Fri Jan 31 15:42:51 +0000 2025,0,0
57,58,Muhammad Raffi,mbg program prioritas mengesampingkan pelayanan kesehatan bpjs ttp fasilitas sesuai yaa,Fri Jan 31 15:40:55 +0000 2025,1,0
58,59,Marifa Rifah,semangat umkm pangan berkembang bareng program mbg mbgdorongekonomi,Fri Jan 31 15:39:17 +0000 2025,0,0
59,60,Fawas Khan,peluang masuk jalan program mbg bikin umkm pangan upskilled ready bersaing plus bonus inovasi menggila mbgdorongekonomi,Fri Jan 31 15:35:39 +0000 2025,0,0
60,61,Sholeh Alhadi,tekan gas kencang umkm pangan program mbg mbgdorongekonomi,Fri Jan 31 15:35:35 +0000 2025,0,0
61,62,Raesha Nazen,program mbg batu loncatan umkm pangan kembangkan sayap mbgdorongekonomi,Fri Jan 31 15:33:19 +0000 2025,0,0
62,63,zei,hah dipotong program mbg daaan god,Fri Jan 31 15:31:28 +0000 2025,0,0
63,64,Kairav Latupono,move on era program mbg bawa pembaharuan industri pangan mbgdorongekonomi,Fri Jan 31 15:29:31 +0000 2025,0,0
64,65,Syabira Alula,program mbg naikin permintaan pangan lokal umkm sibuk produksi nih mbgdorongekonomi,Fri Jan 31 15:25:32 +0000 2025,0,0
65,66,Solopos,umkm mendaftar mitra program mbg usaha mikro menengah umkm berminat mitra program makan bergizi gratis mbg mencapai pendaftar,Fri Jan 31 15:19:18 +0000 2025,0,0
