,Tweet Count,Username,Text,Created At,Retweets,Likes
0,1,Fadli Dinul,me program mbg alias gajelas,Fri Jan 31 23:51:53 +0000 2025,0,8
1,2,JANGAN DITUNGGUIN DAN DITAGIH UPDATE AU🙏🏻,kapan orang yang tidak pernah commute pake transum ini stop ngerecokin kebijakan terkait transum semoga program mbg itu cepet bubar bener nyusahin semua pihak,Fri Jan 31 23:49:29 +0000 2025,1,7
2,3,nugrahagu,lihatlah indonesia bikin program mbg sebelumnya bikin ikn ternyata sangat berpengaruh thd semua sektor coba tebak perencanaan keuangan yang gagal dan kapasitas keuangan yang memang belum cukup kata para ortu klo blm punya duit ya sabar nabung kek investasi emas kek,Fri Jan 31 23:44:39 +0000 2025,0,0
3,4,Bulliever Shinobi,enteng banget nyuruh inovasi hasil pengorbanan mbg doang kenapa mbg nya tidak suruh inovasi saja tuh biar lebih efisien orang program berdampak langsung ke rakyat di swastakan apa tidak mencekik sekelas tj saja masih subsidi realistis son,Fri Jan 31 23:35:47 +0000 2025,0,5
4,5,Humas Polres Nganjuk,program makan bergizi gratis mbg polres nganjuk spripimpoldajatim divhumaspolri humaspoldajatim polisi polresnganjuk kapolresnganjuk siswantoro polisinganjuk semangatmelayani bolokuompolisi wayahelaporkapolres babinkamtibmasnganjuk jumatberkah,Fri Jan 31 23:33:55 +0000 2025,0,6
5,6,mpu bkn gandring 🤪,mbg adlh program mulia tp mengingat anggarannya yang terbatas hrsnya mbg diperuntukkan hanya pd anak didik yang kurang mampu saja shg kualitas gizinya bs di maximal kan semakin sdkt yang trm mbg maka akan lbh mudah penanganan nya,Fri Jan 31 23:31:11 +0000 2025,0,0
6,7,momakan,kakak ipar gue usaha katering harian warga perumahan dan kadang kalau instansi atau sekolah sekolah ada acara order makan di kakak ipar gue tapi sedari awal ada program mbg kami udah wanti wanti tidak usah ikutan mending yang udah langganan saja,Fri Jan 31 23:29:31 +0000 2025,1,4
7,8,amnowi,kementerian lembaga diminta penghematan an triliun gt cuma triliun utk nambahin program mbg sisa an triliun mau dikemanain,Fri Jan 31 23:17:51 +0000 2025,0,0
8,9,Maharisme,apa kok yang di tonjolkan cm program makan siang gratis smua jd penjilatnya prabowo skrg emang permslhan besar negara ini cm mbg msh bnyk ygb lbh penting dibanding mbg ky jaman jahiliayahnya ethiopia saja negara ini perkara ngasih makan ke anaknya dianggap sdh tdk mampu,Fri Jan 31 23:14:57 +0000 2025,0,0
9,10,CVNKJL™️,program andalan pak prabowo yaitu mbg harus kita dukung terus semoga beberapa tahun kedepan anak indonesia menjadi anak yang pintar dan dpt membawa indonesia menjadi negara yang kuat dan maju,Fri Jan 31 23:12:25 +0000 2025,0,0
10,11,ALKAPAY 𝕏,pendidikan dan kesehatan juga bukan prioritas utama semua diefisiensi buat program mbg,Fri Jan 31 22:57:34 +0000 2025,0,1
11,12,erl,parameter keberhasila program mbg apasi serius nanya,Fri Jan 31 22:49:31 +0000 2025,2,0
12,13,RikKu,keknya selama ada program mbg ikn ini tidak mungkin lanjut sih kecuali tiba ada investor masuk tapi apa iya ada yang mau,Fri Jan 31 22:24:56 +0000 2025,0,0
13,14,Deborah,mari dukung program pemerintah makan bergizi gratis membantu anak anak di papua untuk tumbuh cerdas dan sehat makanbergizi giziindonesia makangratis gizi mbg,Fri Jan 31 22:01:58 +0000 2025,0,0
14,15,Deborah,mari dukung program pemerintah makan bergizi gratis membantu anak anak di papua untuk tumbuh cerdas dan sehat makanbergizi giziindonesia makangratis gizi mbg,Fri Jan 31 22:01:48 +0000 2025,0,0
15,16,Titik Rahayu,mari dukung program pemerintah makan bergizi gratis membantu anak anak di papua untuk tumbuh cerdas dan sehat makanbergizi giziindonesia makangratis gizi mbg,Fri Jan 31 22:00:15 +0000 2025,1,1
16,17,Titik Rahayu,mari dukung program pemerintah makan bergizi gratis membantu anak anak di papua untuk tumbuh cerdas dan sehat makanbergizi giziindonesia makangratis gizi mbg,Fri Jan 31 22:00:04 +0000 2025,0,2
17,18,Muhammad Fikrul Akbar Suwahyu,wkwk ternyata kaum emang bodoh beneran adik dan kakak sama bodoh namanya bukan makan gratis tapi program tambahan makanan untuk anak sekolah beda prosesnya dananya sudah jelas lha mbg mencret berjamaah gratis ini dana sama pelaksanaannya tidak jelas,Fri Jan 31 21:57:38 +0000 2025,13,233
18,19,Andri Yandi,setlh dg program gede mudaratnya mbg rupanya asn ngerasa cemilannya berkurang karna mbg kita ngomongin mbg eh ada yang garong hutan kita merhatiin hutan eh ada yang bagi konsesi tambang n tikus mafia tanah beraksi dll lengkap sdh kontol,Fri Jan 31 21:02:44 +0000 2025,0,0
19,20,harapanrakyat.com,puluhan orang tertipu program mbg di tasikmalaya pelaku ngaku dekat dengan mayor teddy,Fri Jan 31 19:59:50 +0000 2025,0,0
20,21,Diah Kartika,program mbg dorong umkm pangan siap hadapi tantangan dan peluang mbgdorongekonomi,Fri Jan 31 19:52:13 +0000 2025,0,0
21,22,Fasha Aulia,program mbg bantu banget umkm buat eksis dan berkembang tingkatkan produksi sama kualitas siapa sih yang nggak suka makanan enak dan sehat mbgdorongekonomi,Fri Jan 31 19:45:59 +0000 2025,0,0
22,23,Rafly Lurus,program mbg menjadi katalis bagi pertumbuhan umkm pangan mbgdorongekonomi,Fri Jan 31 19:45:38 +0000 2025,0,0
23,24,Pintasan.co,prof fadjry djufry paparkan program prioritas sulsel dari mbg hingga swasembada pangan,Fri Jan 31 18:28:25 +0000 2025,0,0
24,25,E zio,udah pasti sirkel yang bakal diuntungin bagian tembakan sama program mbg saja di rezim inimah wkwkwk,Fri Jan 31 18:27:44 +0000 2025,0,0
25,26,E zio,menkeu efisiensi kementerian yang potensial termasuk pendidikan dan kesehatan tapi isolop dan menhan ngga demi naikin anggaran program mbg toh wo wo,Fri Jan 31 18:27:18 +0000 2025,0,0
26,27,Septa Nurdiyanti,ayo maju bersama dukung program mbg agar umkm naik level terus mbgdorongekonomi,Fri Jan 31 18:22:02 +0000 2025,0,0
27,28,aulii,lembaga baru gasih yang in charge di program mbg dibentuknya agustus yang ttd perpres dasar pembentukannya jokowi wjwkwkkw well prepared sekali,Fri Jan 31 18:17:48 +0000 2025,0,0
28,29,oblivion,ide bagus ini biar ego program mbg harus jalan tetep terpenuhi meski dari kiriman menlen duit kas negara bisa dialokasiin untuk kepentingan lain yang lebih mendesak,Fri Jan 31 17:58:47 +0000 2025,0,3
29,30,Raiska Atifah,program mbg bantu umkm pangan cetak produk berkualitas tinggi yang dipercaya konsumen mbgdorongekonomi,Fri Jan 31 17:54:18 +0000 2025,0,0
30,31,@sigromilir.01,anak sekolah bukan kelinci percobaan dari proyek mbg dengan menu gizi dari ulat dan serangga dan jangan berekspektasi guna terlaksana memenuhi program makan mewah bergizi dibiayai dari hasil kembali menjual laut stop berpikir demi pencitraan dng menjual kedaulatan,Fri Jan 31 17:39:45 +0000 2025,0,1
31,32,Kamaria Laksmiwati,tambahan ekonomi nasional dari program mbg bikin bangga dong mbgdorongekonomi,Fri Jan 31 17:15:45 +0000 2025,0,0
32,33,Imron Yaman,program mbg bantu umkm pangan jadi the next big thing di industri mbgdorongekonomi,Fri Jan 31 17:12:30 +0000 2025,0,0
33,34,Sebastian Rendra,program mbg membantu umkm pangan jadi lebih aware lagi akan pentingnya inovasi dan diferensiasi dalam produk sehat mbgdorongekonomi,Fri Jan 31 17:02:10 +0000 2025,0,0
34,35,Brian Syahputra,program mbg makanan sehat bergizi dan gratis,Fri Jan 31 16:59:46 +0000 2025,0,0
35,36,Nuwaira Dahlan,mimpi besar umkm tercapai bareng program mbg yang strategis mbgdorongekonomi,Fri Jan 31 16:58:01 +0000 2025,0,0
36,37,Brian Syahputra,program mbg demi indonesia maju,Fri Jan 31 16:58:01 +0000 2025,0,0
37,38,Paramita Widiastuti,program mbg bikin banyak manfaat untuk umkm pangan di indonesia mbgdorongekonomi,Fri Jan 31 16:46:15 +0000 2025,0,0
38,39,Brian Syahputra,isu tidak jelas ini program mbg itu terjamin dan terpantau,Fri Jan 31 16:43:44 +0000 2025,0,0
39,40,Brian Syahputra,full support untuk kesuksesan program mbg,Fri Jan 31 16:42:01 +0000 2025,0,0
40,41,Brian Syahputra,lawan isu hoax sukses terus untuk program mbg,Fri Jan 31 16:38:46 +0000 2025,0,0
41,42,Saganya Nifsa,inovasi jadi kunci program mbg bantu umkm pangan capai potensi maksimal mbgdorongekonomi,Fri Jan 31 16:26:17 +0000 2025,0,0
42,43,brian,gua curiga program ini sbnrnya tidak ada di agenda awal kampanye presiden tp karena terlanjur nyeletuk dan janjiin mbg yaudah mau tidak mau dilaksanain walaupun belom mateng bgt internal programnya ya mau gmn ya toh ini yang dari awal digadangin kan,Fri Jan 31 16:23:27 +0000 2025,1,8
43,44,Ertiya Majid,booming inovasi dari umkm pangan semua karena program mbg mbgdorongekonomi,Fri Jan 31 16:22:58 +0000 2025,0,0
44,45,Bimbim Gamay,kesempatan emas buat umkm semua bisa dijemput dengan program mbg mbgdorongekonomi,Fri Jan 31 16:16:27 +0000 2025,0,0
45,46,Basima Wardatul,program mbg bikin umkm pangan makin dikenal dan dihargai mbgdorongekonomi,Fri Jan 31 16:10:14 +0000 2025,0,0
46,47,Rendra Nugroho,program mbg jadi langkah awal umkm pangan menuju sukses besar mbgdorongekonomi,Fri Jan 31 16:03:57 +0000 2025,0,0
47,48,Muhammad Raffi,mbg yang menjadi salah satu prioritas presiden prabowo akan memiliki dampak ekonomi yang luas dengan anggaran awal sebesar rp triliun saat ini telah bertambah menjadi rp triliun program tersebut diyakini akan membuka peluang besar bagi umkm di sektor pangan selain itu,Fri Jan 31 16:02:40 +0000 2025,1,0
48,49,telescope,obrolan di warkop blom klarr ikn dah mo bangun giant sea wall tambah program mbg kalau nga dari hutang dari mn lagi,Fri Jan 31 16:01:23 +0000 2025,0,0
49,50,Fadhela Herana,buat umkm pangan program mbg bawa angin segar dan kesempatan mbgdorongekonomi,Fri Jan 31 15:56:56 +0000 2025,0,0
50,51,Silvia Pudjiastuti,bangga jadi umkm yang bisa merangkul kesempatan dari program mbg mbgdorongekonomi,Fri Jan 31 15:53:46 +0000 2025,0,0
51,52,Encus,mereka itu cima buat gimmick doank lah wong program mbg gratis amburadul aii malahan suruh pindah emang di ikn mau ngapain apa cuma buat joget oke gas oke gas modyar,Fri Jan 31 15:46:50 +0000 2025,0,1
52,53,el,btw mbg program dadakan makanya kualitasnya buruk terlanjur menang mau tidak mau seadanya saja,Fri Jan 31 15:46:36 +0000 2025,0,0
53,54,PatiGeni,sebaiknya program mbg di batalkan dan di ganti dg program yang lebih cerdas,Fri Jan 31 15:46:09 +0000 2025,1,1
54,55,oembi geprek,me too ya allah harus nahan tahun lg dgn kondisi begini demi program mbg yang menurutku sangat tidak tepat sasaran sekolah elite dapet mbg juga kah terus apa kabar anak miskin yang tidak sekolah tujuannya mengatasi stunting kan bullshit,Fri Jan 31 15:45:45 +0000 2025,0,0
55,56,Anindya Kurniawati,program mbg bikin semua orang jadi lebih sehat dan umkm juga ikutan sejahtera mbgdorongekonomi,Fri Jan 31 15:43:10 +0000 2025,0,0
56,57,Anik Karolina,program mbg menghadirkan harapan bagi umkm pangan jangkau pasar luas mbgdorongekonomi,Fri Jan 31 15:42:51 +0000 2025,0,0
57,58,Muhammad Raffi,mbg menjadi program prioritas tapi tidak mengesampingkan pelayanan kesehatan bpjs jadi kita semua ttp bisa mendapatkan fasilitas yang sesuai yaa,Fri Jan 31 15:40:55 +0000 2025,1,0
