Tweet Count,Username,Text,Created At,Retweets,Likes
1,Fadli Dinul,me: program MBG alias gajelas,Fri Jan 31 23:51:53 +0000 2025,0,8
2,JANGAN DITUNGGUIN DAN DITAGIH UPDATE AU🙏🏻,kapan orang2 yg ga pernah commute pake transum ini stop ngerecokin kebijakan terkait transum? Semoga program mbg itu cepet bubar. Bener2 nyusahin semua pihak,Fri Jan 31 23:49:29 +0000 2025,1,7
3,nugrahagu,"Lihatlah Indonesia.
Bikin program MBG, sebelumnya bikin IKN. Ternyata sangat berpengaruh thd semua sektor.
Coba tebak?
Perencanaan keuangan yg gagal dan kapasitas keuangan yg memang belum cukup.
Kata para ortu klo blm punya duit ya sabar, nabung kek, investasi emas kek. 🤭",Fri Jan 31 23:44:39 +0000 2025,0,0
4,Bulliever Shinobi,"@Sasmo_kliwon @raihanaulia_rar enteng banget nyuruh inovasi hasil pengorbanan MBG doang, kenapa MBG nya ga suruh inovasi aja tuh biar lebih efisien. 

Orang program berdampak langsung ke rakyat, di swastakan apa ga mencekik. Sekelas TJ aja masih subsidi. Realistis son",Fri Jan 31 23:35:47 +0000 2025,0,5
5,Humas Polres Nganjuk,"Program Makan Bergizi Gratis (MBG) Polres Nganjuk.

#spripimpoldajatim
#divhumaspolri
#humaspoldajatim
#polisi
#polresnganjuk 
#kapolresnganjuk 
#siswantoro14
#polisinganjuk
#semangatmelayani 
#bolokuompolisi 
#wayahelaporkapolres
#babinkamtibmasnganjuk
#jumatberkah https://t.co/U4YbDRbwPb",Fri Jan 31 23:33:55 +0000 2025,0,6
6,mpu bkn gandring 🤪,"@alisyarief MBG adlh program mulia tp mengingat anggarannya yg terbatas hrsnya MBG diperuntukkan hanya pd anak didik yg kurang mampu aja shg kualitas gizinya bs di maximal kan, semakin sdkt yg trm MBG maka akan lbh mudah penanganan nya ..",Fri Jan 31 23:31:11 +0000 2025,0,0
7,momakan,"@akuntwiter968 Kakak ipar gue usaha katering harian warga perumahan dan kadang kalau instansi atau sekolah-sekolah ada acara order makan di kakak ipar gue. Tapi sedari awal ada program MBG, kami udah wanti-wanti ga usah ikutan. Mending yang udah langganan aja.",Fri Jan 31 23:29:31 +0000 2025,1,4
8,amnowi,@kompascom Kementerian/lembaga diminta penghematan 250an triliun -&gt; cuma 100 triliun utk nambahin program MBG. Sisa 150an triliun mau dikemanain??,Fri Jan 31 23:17:51 +0000 2025,0,0
9,Maharisme,"@CNNIndonesia Apa2 kok yg di tonjolkan  cm program makan siang gratis. Smua jd penjilatnya prabowo skrg, emang permslhan besar negara ini cm MBG? , msh bnyk ygb lbh penting dibanding MBG, ky jaman jahiliayahnya ethiopia aja negara ini , perkara ngasih makan ke anaknya dianggap sdh tdk mampu",Fri Jan 31 23:14:57 +0000 2025,0,0
10,CVNKJL™️,"Program andalan Pak Prabowo yaitu MBG harus kita dukung terus, semoga beberapa tahun kedepan anak02 Indonesia menjadi anak02 yg pintar dan dpt membawa Indonesia menjadi negara yg kuat dan maju. https://t.co/nQ2DrjmlWO",Fri Jan 31 23:12:25 +0000 2025,0,0
11,ALKAPAY 𝕏,"@raihanaulia_rar Pendidikan dan kesehatan juga bukan prioritas utama, semua diefisiensi buat program MBG.",Fri Jan 31 22:57:34 +0000 2025,0,1
12,erl,Parameter keberhasila program MBG apasi? Serius nanya,Fri Jan 31 22:49:31 +0000 2025,2,0
